Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Flavius Daniliuc,at AUT,DF,20.0,24,14,1293.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.4,6.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,nice
Youcef Atal,dz ALG,DF,25.0,17,13,1140.0,12.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,1.3,2.2,63.0,44.0,106.0,0.16,0.08,0.24,0.16,0.24,0.07,0.11,0.18,0.07,0.18,Matches,nice
Calvin Stengs,nl NED,MF,22.0,24,11,1073.0,11.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.7,2.7,2.5,5.2,33.0,51.0,74.0,0.08,0.08,0.17,0.08,0.17,0.23,0.21,0.44,0.23,0.44,Matches,nice
Hassane Kamara,ci CIV,"MF,DF",27.0,11,7,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.9,1.9,18.0,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.32,0.17,0.32,Matches,nice
Morgan Schneiderlin,fr FRA,MF,31.0,20,5,649.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.2,0.5,5.0,36.0,5.0,0.0,0.14,0.14,0.0,0.14,0.04,0.02,0.07,0.04,0.07,Matches,nice
Lucas Da Cunha,fr FRA,MF,20.0,10,5,393.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.1,15.0,11.0,18.0,0.0,0.23,0.23,0.0,0.23,0.19,0.29,0.48,0.19,0.48,Matches,nice
Jordan Amavi,fr FRA,DF,27.0,8,4,413.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,13.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,nice
Evann Guessand,fr FRA,FW,20.0,20,2,438.0,4.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,1.2,3.0,6.0,7.0,24.0,0.21,0.41,0.62,0.21,0.62,0.37,0.24,0.62,0.37,0.62,Matches,nice
Bilal Brahimi,dz ALG,MF,21.0,11,2,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.9,1.6,25.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.15,0.22,0.37,0.15,0.37,Matches,nice
Dan Ndoye,ch SUI,"FW,MF",20.0,3,2,205.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,3.0,5.0,17.0,0.0,0.44,0.44,0.0,0.44,0.05,0.22,0.27,0.05,0.27,Matches,nice
