Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Mees Hoedemakers,nl NED,MF,23.0,28,28,2366.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.9,0.9,1.3,2.2,31.0,109.0,14.0,0.11,0.04,0.15,0.11,0.15,0.03,0.05,0.08,0.03,0.08,Matches,cambuur
Alex Bangura,sl SLE,DF,22.0,27,27,2413.0,26.8,3.0,0.0,3.0,3.0,0.0,0.0,8.0,1.0,1.1,1.1,0.7,1.8,63.0,58.0,69.0,0.11,0.0,0.11,0.11,0.11,0.04,0.03,0.07,0.04,0.07,Matches,cambuur
Jamie Jacobs,nl NED,MF,23.0,30,24,1907.0,21.2,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,4.1,4.1,3.5,7.6,24.0,73.0,89.0,0.24,0.24,0.47,0.24,0.47,0.19,0.17,0.36,0.19,0.36,Matches,cambuur
Roberts Uldriķis,lv LVA,FW,23.0,21,18,1541.0,17.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,0.0,6.0,6.0,2.1,8.1,5.0,28.0,62.0,0.41,0.0,0.41,0.41,0.41,0.35,0.12,0.47,0.35,0.47,Matches,cambuur
Mitchell Paulissen,nl NED,"MF,FW",28.0,31,14,1384.0,15.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.8,0.8,2.5,3.3,22.0,50.0,30.0,0.2,0.2,0.39,0.2,0.39,0.05,0.17,0.22,0.05,0.22,Matches,cambuur
Tom Boere,nl NED,FW,28.0,22,14,1266.0,14.1,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,4.6,4.6,1.9,6.5,9.0,24.0,77.0,0.43,0.07,0.5,0.43,0.5,0.33,0.14,0.46,0.33,0.46,Matches,cambuur
Michael Breij,nl NED,"MF,FW",24.0,27,13,1399.0,15.5,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,2.1,4.2,44.0,48.0,86.0,0.13,0.19,0.32,0.13,0.32,0.13,0.14,0.27,0.13,0.27,Matches,cambuur
Patrick Joosten,nl NED,FW,25.0,15,12,965.0,10.7,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,2.3,4.0,20.0,23.0,68.0,0.19,0.28,0.47,0.19,0.47,0.15,0.22,0.37,0.15,0.37,Matches,cambuur
Marco Tol,nl NED,DF,23.0,27,9,1228.0,13.6,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.3,2.0,22.0,2.0,0.15,0.07,0.22,0.15,0.22,0.06,0.03,0.09,0.06,0.09,Matches,cambuur
David Sambissa,ga GAB,"MF,DF",25.0,22,8,835.0,9.3,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.5,0.5,0.7,1.2,34.0,16.0,54.0,0.32,0.11,0.43,0.32,0.43,0.05,0.08,0.13,0.05,0.13,Matches,cambuur
Nick Doodeman,nl NED,"FW,MF",24.0,15,7,586.0,6.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.1,2.6,15.0,6.0,61.0,0.0,0.46,0.46,0.0,0.46,0.07,0.33,0.41,0.07,0.41,Matches,cambuur
Pieter Bos,nl NED,GK,24.0,6,5,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cambuur
Sékou Oumar Sylla,gn GUI,DF,22.0,5,5,375.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.1,3.0,12.0,15.0,0.24,0.0,0.24,0.24,0.24,0.01,0.01,0.02,0.01,0.02,Matches,cambuur
Jasper Ter Heide,nl NED,"MF,DF",22.0,16,4,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.14,0.08,0.14,Matches,cambuur
Jhondly van der Meer,ht HAI,DF,19.0,10,3,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,8.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches,cambuur
Tamás Kiss,hu HUN,"MF,FW",20.0,11,2,268.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.2,6.0,11.0,23.0,0.34,0.0,0.34,0.34,0.34,0.19,0.21,0.4,0.19,0.4,Matches,cambuur
Sam Hendriks,nl NED,"FW,MF",26.0,5,1,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,cambuur
Maxim Gullit,nl NED,DF,20.0,7,0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cambuur
Milan Smit,nl NED,"FW,MF",18.0,4,0,64.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,1.0,0.0,3.0,1.41,0.0,1.41,1.41,1.41,0.97,0.0,0.97,0.97,0.97,Matches,cambuur
Filip Krastev,bg BUL,MF,19.0,3,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,cambuur
