Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
William Carvalho,pt POR,MF,29.0,20.1,6,0,0,31,28,0,4,16,33,0.0,0.0,0,128.0,34.0,25.0,57.6,Matches,real betis
Willian José,br BRA,FW,29.0,17.8,2,0,0,12,23,7,7,3,13,0.0,0.0,0,64.0,22.0,34.0,39.3,Matches,real betis
Borja Iglesias,es ESP,FW,28.0,17.5,4,0,0,25,31,8,6,4,4,2.0,0.0,0,33.0,20.0,27.0,42.6,Matches,real betis
Claudio Bravo,cl CHI,GK,38.0,16.2,2,0,0,1,1,0,0,0,0,0.0,1.0,0,20.0,6.0,1.0,85.7,Matches,real betis
Víctor Ruiz,es ESP,DF,32.0,15.8,2,0,0,12,2,2,0,29,9,0.0,0.0,0,96.0,46.0,29.0,61.3,Matches,real betis
Andrés Guardado,mx MEX,MF,34.0,15.5,4,0,0,24,18,0,9,21,13,0.0,1.0,0,100.0,12.0,32.0,27.3,Matches,real betis
Édgar González,es ESP,DF,24.0,16.3,6,0,0,21,8,0,1,23,19,0.0,0.0,0,70.0,32.0,34.0,48.5,Matches,real betis
Rodrigo,es ESP,FW,21.0,9.8,1,0,0,2,15,1,10,3,7,0.0,0.0,0,54.0,0.0,8.0,0.0,Matches,real betis
Aitor Ruibal,es ESP,"FW,DF",25.0,9.5,6,0,0,23,15,1,17,8,15,0.0,0.0,0,41.0,5.0,14.0,26.3,Matches,real betis
Youssouf Sabaly,sn SEN,DF,28.0,8.8,1,0,0,5,9,1,17,13,10,0.0,0.0,0,37.0,10.0,9.0,52.6,Matches,real betis
Juan Miranda,es ESP,DF,21.0,8.7,3,0,0,13,13,0,28,15,11,0.0,0.0,0,36.0,12.0,18.0,40.0,Matches,real betis
Martín Montoya,es ESP,DF,30.0,5.8,2,0,0,8,10,0,13,11,12,0.0,0.0,0,27.0,10.0,6.0,62.5,Matches,real betis
Paul Akouokou,ci CIV,MF,23.0,5.7,2,1,0,13,2,0,1,11,9,0.0,0.0,0,42.0,6.0,2.0,75.0,Matches,real betis
Cristian Tello,es ESP,FW,29.0,9.1,2,0,0,9,5,4,16,10,11,0.0,0.0,0,53.0,5.0,5.0,50.0,Matches,real betis
Joaquín,es ESP,"FW,MF",40.0,5.2,0,0,0,1,9,0,36,3,2,0.0,0.0,0,30.0,3.0,12.0,20.0,Matches,real betis
Diego Lainez,mx MEX,FW,21.0,1.6,0,0,0,4,1,0,2,1,1,0.0,0.0,0,10.0,0.0,2.0,0.0,Matches,real betis
