Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Soualiho Meïté,fr FRA,MF,27.0,9.8,1.0,0.0,0.0,21.0,16.0,0.0,1.0,13.0,5.0,0.0,0.0,0.0,70.0,12.0,4.0,75.0,Matches,benfica
Diogo Gonçalves,pt POR,"MF,FW",24.0,9.6,5.0,1.0,0.0,18.0,19.0,2.0,46.0,5.0,11.0,0.0,0.0,0.0,35.0,5.0,9.0,35.7,Matches,benfica
Lucas Veríssimo,br BRA,DF,26.0,9.3,3.0,0.0,0.0,23.0,4.0,1.0,1.0,17.0,9.0,0.0,1.0,0.0,46.0,15.0,15.0,50.0,Matches,benfica
Adel Taarabt,ma MAR,MF,32.0,9.6,3.0,1.0,0.0,13.0,14.0,0.0,20.0,7.0,10.0,0.0,0.0,0.0,62.0,5.0,1.0,83.3,Matches,benfica
André Almeida,pt POR,DF,30.0,8.9,3.0,1.0,1.0,13.0,7.0,0.0,38.0,3.0,9.0,0.0,0.0,0.0,30.0,11.0,12.0,47.8,Matches,benfica
Paulo Bernardo,pt POR,MF,19.0,8.7,3.0,0.0,0.0,27.0,16.0,1.0,11.0,8.0,13.0,0.0,0.0,0.0,59.0,3.0,5.0,37.5,Matches,benfica
Gil Bastião Dias,pt POR,"DF,FW",24.0,7.3,1.0,0.0,0.0,10.0,9.0,1.0,14.0,12.0,11.0,0.0,0.0,0.0,41.0,9.0,11.0,45.0,Matches,benfica
Haris Seferović,ch SUI,FW,29.0,4.4,0.0,0.0,0.0,4.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.0,76.5,Matches,benfica
Pizzi,pt POR,"MF,FW",31.0,3.6,2.0,0.0,0.0,5.0,2.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,50.0,Matches,benfica
Helton Leite,br BRA,GK,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,Matches,benfica
Sandro Cruz,pt POR,DF,20.0,1.8,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,,Matches,benfica
Luca Waldschmidt,de GER,"FW,MF",25.0,1.6,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,,Matches,benfica
Nemanja Radonjić,rs SRB,"DF,MF",25.0,1.5,2.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0,Matches,benfica
Henrique Araújo,pt POR,FW,19.0,1.4,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,50.0,Matches,benfica
Tomás Araújo,pt POR,DF,19.0,1.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,33.3,Matches,benfica
Tiago Gouveia,pt POR,"FW,MF",20.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,,Matches,benfica
Rodrigo Pinho,br BRA,FW,30.0,0.9,0.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Matches,benfica
Gedson Fernandes,pt POR,MF,22.0,0.6,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,,Matches,benfica
Diego Moreira,pt POR,FW,16.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,Matches,benfica
Martim Carvalho,pt POR,MF,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,Matches,benfica
Ricardo Horta,pt POR,"FW,MF",26.0,31.0,4.0,0.0,0.0,19.0,42.0,6.0,110.0,13.0,28.0,0.0,0.0,0.0,147.0,3.0,17.0,15.0,Matches,braga
Almoatasem Al Musrati,ly LBY,MF,25.0,28.5,10.0,0.0,0.0,39.0,20.0,0.0,3.0,43.0,34.0,0.0,0.0,0.0,234.0,49.0,38.0,56.3,Matches,braga
Paulo Oliveira,pt POR,DF,29.0,26.1,7.0,0.0,0.0,27.0,6.0,0.0,2.0,53.0,24.0,0.0,0.0,0.0,132.0,60.0,36.0,62.5,Matches,braga
Diogo Leite,pt POR,DF,22.0,20.6,1.0,0.0,0.0,29.0,23.0,0.0,4.0,31.0,20.0,0.0,0.0,0.0,117.0,76.0,41.0,65.0,Matches,braga
Vítor Tormena,br BRA,DF,25.0,20.7,5.0,0.0,0.0,32.0,4.0,1.0,5.0,28.0,9.0,0.0,0.0,0.0,143.0,54.0,24.0,69.2,Matches,braga
Yan Couto,br BRA,"DF,MF",19.0,20.0,4.0,0.0,0.0,19.0,31.0,2.0,81.0,23.0,19.0,1.0,0.0,0.0,123.0,5.0,13.0,27.8,Matches,braga
André Horta,pt POR,MF,24.0,17.4,3.0,1.0,0.0,26.0,18.0,0.0,18.0,7.0,14.0,0.0,1.0,0.0,109.0,4.0,10.0,28.6,Matches,braga
Iuri Medeiros,pt POR,"MF,FW",27.0,15.8,1.0,0.0,0.0,11.0,14.0,6.0,72.0,8.0,13.0,0.0,0.0,0.0,57.0,3.0,13.0,18.8,Matches,braga
Vitinha,pt POR,FW,21.0,16.4,2.0,1.0,0.0,47.0,35.0,17.0,19.0,7.0,12.0,2.0,0.0,0.0,55.0,35.0,58.0,37.6,Matches,braga
Fabiano,br BRA,"DF,MF",21.0,15.8,6.0,0.0,0.0,31.0,28.0,1.0,46.0,23.0,25.0,0.0,0.0,0.0,87.0,11.0,18.0,37.9,Matches,braga
Moura,pt POR,"DF,MF",21.0,16.5,4.0,0.0,0.0,49.0,16.0,3.0,41.0,18.0,19.0,0.0,0.0,0.0,82.0,22.0,35.0,38.6,Matches,braga
Abel Ruiz,es ESP,"FW,MF",21.0,15.4,2.0,0.0,0.0,14.0,13.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,42.0,12.0,43.0,21.8,Matches,braga
André Castro,pt POR,MF,33.0,12.8,4.0,0.0,0.0,30.0,9.0,0.0,5.0,10.0,11.0,0.0,0.0,0.0,78.0,23.0,28.0,45.1,Matches,braga
