Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Alois Oroz,hr CRO,"DF,MF",20.0,9.0,4,0,0,13,2,0,6,26,8,0.0,0.0,0,55.0,30.0,27.0,52.6,Matches,vitesse
Million Manhoef,nl NED,"DF,FW",19.0,8.4,1,0,0,14,6,0,16,7,9,0.0,0.0,0,71.0,6.0,9.0,40.0,Matches,vitesse
Adrian Grbić,at AUT,"FW,MF",24.0,8.4,0,1,0,5,6,7,2,4,4,0.0,0.0,0,15.0,35.0,45.0,43.8,Matches,vitesse
Enzo Cornelisse,nl NED,DF,18.0,9.3,0,0,0,4,9,0,9,12,12,0.0,0.0,0,52.0,26.0,21.0,55.3,Matches,vitesse
Oussama Darfalou,dz ALG,FW,27.0,6.0,1,0,0,6,5,4,3,2,1,0.0,0.0,0,19.0,15.0,25.0,37.5,Matches,vitesse
Patrick Vroegh,nl NED,MF,21.0,7.3,1,0,0,2,1,1,10,4,6,0.0,0.0,0,45.0,8.0,22.0,26.7,Matches,vitesse
Romaric Yapi,fr FRA,"DF,FW",21.0,3.3,0,0,0,6,5,1,5,2,7,0.0,0.0,0,18.0,3.0,5.0,37.5,Matches,vitesse
Oussama Tannane,ma MAR,"MF,FW",27.0,2.3,2,0,0,6,6,1,10,2,3,0.0,0.0,0,9.0,1.0,3.0,25.0,Matches,vitesse
Gyan de Regt,nl NED,DF,18.0,0.4,0,0,0,0,1,0,0,0,2,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,vitesse
Julian von Moos,ch SUI,"FW,DF",20.0,1.3,0,0,0,2,0,0,4,0,4,0.0,0.0,0,9.0,3.0,10.0,23.1,Matches,vitesse
Hilary Gong,ng NGA,"DF,FW",22.0,0.7,0,0,0,1,2,0,2,0,1,0.0,0.0,0,0.0,2.0,0.0,100.0,Matches,vitesse
Simon Van Duivenbooden,nl NED,MF,19.0,0.3,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,2.0,4.0,33.3,Matches,vitesse
Mike van der Hoorn,nl NED,DF,28.0,28.6,2,0,0,21,31,1,3,35,16,1.0,1.0,1,180.0,123.0,64.0,65.8,Matches,utrecht
Quinten Timber,nl NED,MF,20.0,26.1,4,0,0,29,43,1,20,43,34,0.0,0.0,0,172.0,20.0,23.0,46.5,Matches,utrecht
Anastasios Douvikas,gr GRE,FW,21.0,26.4,1,0,0,40,54,7,8,7,20,1.0,0.0,0,61.0,88.0,106.0,45.4,Matches,utrecht
Mark van der Maarel,nl NED,DF,31.0,22.7,10,0,0,34,16,2,14,32,41,0.0,0.0,0,150.0,25.0,35.0,41.7,Matches,utrecht
Bart Ramselaar,nl NED,"MF,FW",25.0,22.2,0,0,0,16,12,1,36,9,9,1.0,0.0,0,76.0,11.0,21.0,34.4,Matches,utrecht
