Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Pablo Rosario,nl NED,MF,24.0,30.3,7,0,0,36,22,2,15,38,37,0.0,0.0,0,175.0,43.0,31.0,58.1,Matches,nice
Melvin Bard,fr FRA,DF,20.0,28.8,3,0,0,21,30,1,87,51,37,0.0,0.0,0,226.0,41.0,31.0,56.9,Matches,nice
Andy Delort,dz ALG,FW,29.0,27.2,3,0,0,38,43,16,51,9,9,1.0,0.0,0,59.0,94.0,101.0,48.2,Matches,nice
Mario Lemina,ga GAB,MF,27.0,21.9,7,1,1,36,23,0,7,48,35,0.0,0.0,0,142.0,23.0,10.0,69.7,Matches,nice
Justin Kluivert,nl NED,MF,22.0,20.8,6,1,0,39,29,5,161,14,9,0.0,1.0,0,95.0,14.0,12.0,53.8,Matches,nice
Hicham Boudaoui,dz ALG,MF,21.0,18.0,7,0,0,30,21,4,49,18,18,0.0,0.0,0,103.0,13.0,16.0,44.8,Matches,nice
Khéphren Thuram-Ulie,fr FRA,MF,20.0,21.1,4,0,0,33,14,1,10,28,19,1.0,0.0,0,127.0,21.0,21.0,50.0,Matches,nice
Jordan Lotomba,ch SUI,DF,22.0,19.8,4,0,0,11,23,2,44,12,17,0.0,0.0,0,86.0,12.0,15.0,44.4,Matches,nice
Kasper Dolberg,dk DEN,FW,23.0,16.6,0,0,0,30,29,3,5,6,4,0.0,0.0,0,38.0,21.0,25.0,45.7,Matches,nice
Flavius Daniliuc,at AUT,DF,20.0,14.4,4,0,0,17,4,1,7,14,31,0.0,0.0,0,98.0,21.0,24.0,46.7,Matches,nice
Youcef Atal,dz ALG,DF,25.0,12.7,4,0,0,17,23,3,54,32,19,1.0,1.0,0,72.0,26.0,12.0,68.4,Matches,nice
Calvin Stengs,nl NED,MF,22.0,11.9,1,0,0,15,7,2,41,8,7,0.0,1.0,0,57.0,2.0,12.0,14.3,Matches,nice
Hassane Kamara,ci CIV,"MF,DF",27.0,6.0,2,0,0,8,4,3,16,9,10,0.0,0.0,0,41.0,2.0,13.0,13.3,Matches,nice
Morgan Schneiderlin,fr FRA,MF,31.0,7.2,1,1,0,15,4,0,1,20,12,0.0,0.0,0,56.0,12.0,8.0,60.0,Matches,nice
Lucas Da Cunha,fr FRA,MF,20.0,4.4,0,0,0,3,5,0,23,1,7,0.0,0.0,0,25.0,6.0,6.0,50.0,Matches,nice
Jordan Amavi,fr FRA,DF,27.0,4.6,1,0,0,2,4,0,6,15,10,0.0,0.0,0,29.0,10.0,9.0,52.6,Matches,nice
Evann Guessand,fr FRA,FW,20.0,4.9,3,0,0,14,9,0,0,0,8,1.0,0.0,0,19.0,12.0,12.0,50.0,Matches,nice
Bilal Brahimi,dz ALG,MF,21.0,4.2,1,0,0,4,10,2,45,2,1,0.0,0.0,0,24.0,2.0,1.0,66.7,Matches,nice
Dan Ndoye,ch SUI,"FW,MF",20.0,2.3,0,0,0,3,2,1,1,0,0,0.0,0.0,0,9.0,2.0,8.0,20.0,Matches,nice
Danilo Barbosa,br BRA,DF,25.0,1.0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,2.0,4.0,5.0,44.4,Matches,nice
Marcin Bułka,pl POL,GK,21.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,nice
Alexis Claude-Maurice,fr FRA,MF,23.0,2.3,1,0,0,4,5,0,9,3,0,0.0,0.0,0,11.0,1.0,3.0,25.0,Matches,nice
Gerzino Nyamsi,fr FRA,DF,24.0,33.2,4,0,0,34,4,1,2,25,21,0.0,0.0,0,178.0,90.0,44.0,67.2,Matches,strasbourg
Ludovic Ajorque,fr FRA,FW,27.0,30.4,5,1,0,40,36,14,17,8,25,2.0,0.0,1,86.0,127.0,102.0,55.5,Matches,strasbourg
Alexander Djiku,gh GHA,DF,26.0,29.9,10,1,1,44,28,2,15,61,37,0.0,2.0,0,142.0,71.0,29.0,71.0,Matches,strasbourg
Lucas Perrin,fr FRA,DF,22.0,27.8,5,0,0,46,31,2,4,42,32,0.0,1.0,0,169.0,53.0,19.0,73.6,Matches,strasbourg
Frederic Guilbert,fr FRA,DF,26.0,28.0,4,0,0,26,22,2,218,55,39,0.0,0.0,0,142.0,27.0,40.0,40.3,Matches,strasbourg
Kévin Gameiro,fr FRA,FW,34.0,26.5,0,0,0,16,17,14,16,6,10,1.0,0.0,0,81.0,10.0,48.0,17.2,Matches,strasbourg
Adrien Thomasson,fr FRA,MF,27.0,26.5,2,1,0,35,34,4,57,29,31,0.0,0.0,0,177.0,16.0,30.0,34.8,Matches,strasbourg
Sanjin Prcić,ba BIH,MF,27.0,24.3,4,0,0,24,9,0,49,47,28,1.0,0.0,0,181.0,15.0,15.0,50.0,Matches,strasbourg
Anthony Caci,fr FRA,DF,24.0,26.6,4,0,0,35,23,2,97,33,34,0.0,0.0,0,161.0,38.0,24.0,61.3,Matches,strasbourg
Jean-Ricner Bellegarde,fr FRA,MF,23.0,25.9,5,0,0,36,68,0,54,27,32,0.0,0.0,0,177.0,18.0,19.0,48.6,Matches,strasbourg
Ibrahima Sissoko,fr FRA,"MF,DF",23.0,25.6,6,0,0,60,28,0,21,35,23,1.0,0.0,0,169.0,59.0,29.0,67.0,Matches,strasbourg
Dimitri Liénard,fr FRA,"DF,MF",33.0,22.7,8,0,0,34,25,4,188,21,43,1.0,0.0,0,132.0,19.0,25.0,43.2,Matches,strasbourg
Habib Diallo,sn SEN,FW,26.0,17.1,2,0,0,17,20,15,9,4,5,0.0,0.0,0,48.0,55.0,60.0,47.8,Matches,strasbourg
Jean-Eudes Aholou,ci CIV,MF,27.0,11.2,2,0,0,21,20,0,6,19,9,0.0,0.0,0,77.0,14.0,5.0,73.7,Matches,strasbourg
Maxime Le Marchand,fr FRA,DF,31.0,9.6,4,0,0,10,2,0,5,14,8,0.0,1.0,0,52.0,15.0,10.0,60.0,Matches,strasbourg
