Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,club
Benno Schmitz,de GER,DF,26.0,26.9,5,0,0,30,25,1,93,39,37,0,0,0,143,29,43,40.3,Matches,koln
Salih Özcan,tr TUR,MF,23.0,25.7,5,0,0,38,53,1,18,51,30,0,0,0,225,53,43,55.2,Matches,koln
Luca Kilian,de GER,DF,21.0,25.3,3,0,0,7,11,0,4,46,24,0,1,0,135,46,44,51.1,Matches,koln
Mark Uth,de GER,"MF,FW",29.0,22.5,3,0,0,34,45,11,123,14,20,0,0,0,110,22,31,41.5,Matches,koln
Dejan Ljubicic,at AUT,"MF,FW",23.0,21.9,4,0,0,29,21,3,59,15,19,0,0,0,148,12,26,31.6,Matches,koln
Marvin Schwäbe,de GER,GK,26.0,21.0,1,0,0,0,3,0,0,0,0,0,0,0,30,4,1,80.0,Matches,koln
Ellyes Skhiri,tn TUN,MF,26.0,20.2,3,0,0,18,21,2,6,37,33,0,0,0,157,34,23,59.6,Matches,koln
Timo Hübers,de GER,DF,25.0,19.3,7,0,0,26,24,0,0,52,27,0,0,1,153,51,38,57.3,Matches,koln
Ondrej Duda,sk SVK,"MF,FW",26.0,17.9,5,0,0,41,34,0,27,17,16,0,0,0,129,16,21,43.2,Matches,koln
Rafael Czichos,de GER,DF,31.0,15.6,4,0,0,16,11,0,3,19,18,0,0,1,103,43,37,53.8,Matches,koln
Sebastian Andersson,se SWE,FW,30.0,14.0,3,0,0,23,18,5,9,3,7,0,0,0,32,53,60,46.9,Matches,koln
Timo Horn,de GER,GK,28.0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,20,3,0,100.0,Matches,koln
Jan Thielmann,de GER,"MF,FW",19.0,13.2,6,0,0,12,12,2,57,10,16,0,0,0,86,21,30,41.2,Matches,koln
Kingsley Ehizibue,nl NED,DF,26.0,7.6,2,0,0,15,16,0,17,9,18,0,0,0,45,13,5,72.2,Matches,koln
Louis Schaub,at AUT,"MF,FW",26.0,7.3,0,0,0,8,8,3,34,3,10,0,0,0,56,3,13,18.8,Matches,koln
Jorge Meré,es ESP,DF,24.0,5.4,2,0,0,4,1,0,1,10,6,0,0,0,36,14,11,56.0,Matches,koln
Jannes Horn,de GER,DF,24.0,5.3,2,0,0,4,8,0,28,3,4,0,0,0,33,8,7,53.3,Matches,koln
Julian Chabot,de GER,DF,23.0,2.3,1,0,0,5,7,0,0,3,3,0,0,0,14,9,10,47.4,Matches,koln
Kingsley Schindler,gh GHA,"DF,FW",28.0,3.9,1,0,0,2,5,1,24,5,0,0,0,0,27,7,5,58.3,Matches,koln
Tim Lemperle,de GER,"FW,MF",19.0,1.7,0,0,0,4,3,0,1,2,1,0,0,0,7,5,10,33.3,Matches,koln
