Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,club
Marius Adamonis,lt LTU,GK,26-028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Djavan Anderson,nl NED,"DF,MF",28-050,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Mohamed Fares,dz ALG,"DF,FW",27-115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Romano Floriani,it ITA,DF,20-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Diego González,py PAR,FW,20-154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Dimitrije Kamenović,rs SRB,DF,22-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Federico Magro,it ITA,GK,18-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Raúl Moro,es ESP,FW,20-187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,lazio
Hakan Çalhanoğlu,tr TUR,MF,29-122,33,28,2364.0,26.3,3.0,6.0,9.0,2.0,1.0,1.0,3.0,0.0,3.1,2.3,5.0,7.3,46.0,172.0,68.0,0.11,0.23,0.34,0.08,0.3,0.12,0.19,0.31,0.09,0.28,Matches,internazionale
Lautaro Martínez,ar ARG,FW,25-292,38,27,2576.0,28.6,21.0,6.0,27.0,20.0,1.0,2.0,3.0,0.0,18.1,16.5,5.4,21.9,49.0,83.0,172.0,0.73,0.21,0.94,0.7,0.91,0.63,0.19,0.82,0.58,0.76,Matches,internazionale
Alessandro Bastoni,it ITA,DF,24-058,29,26,2159.0,24.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.7,3.7,47.0,141.0,44.0,0.0,0.08,0.08,0.0,0.08,0.04,0.11,0.15,0.04,0.15,Matches,internazionale
Federico Dimarco,it ITA,DF,25-212,33,26,2069.0,23.0,4.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,3.1,3.1,6.9,9.9,45.0,88.0,189.0,0.17,0.13,0.3,0.17,0.3,0.13,0.3,0.43,0.13,0.43,Matches,internazionale
Francesco Acerbi,it ITA,DF,35-120,31,25,2423.0,26.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.1,2.1,39.0,100.0,32.0,0.0,0.07,0.07,0.0,0.07,0.04,0.04,0.08,0.04,0.08,Matches,internazionale
